id,name,emoji,meal_categories,protein_score,veggie_score,sugar_score,water_score,vitamin_score
a5f759bd-daac-4cf7-8535-5da7f4b01f1d,Acai Bowl,🫐,breakfast,1,2,2,2,3
1ca0749b-daee-41eb-a91a-ce272b9a1cfa,Bacon,🥓,breakfast,2,0,0,0,1
a77fbced-aae4-49bb-91e9-435412ebecd1,Bagel,🥯,breakfast,2,0,1,0,1
890e962e-f545-4d3b-8d3c-5b0c2412b5fd,Bagel & Cream Cheese,🥯,breakfast,2,0,1,0,1
6c14c876-4628-4d8b-a68e-893a8ea7d22e,Breakfast Burrito,🌯,breakfast,3,1,0,1,2
84350d5e-8a1f-4a45-914b-8b4d1d461a99,French Toast,🍞,breakfast,2,0,2,0,1
93c0275e-1dc4-459c-bfcc-4045dbb11699,Fried Egg,🍳,breakfast,2,0,0,0,2
c545ba51-4be4-4823-a2f8-e9d74b9216c6,Hash Browns,🥔,breakfast,0,1,0,0,1
65c6463d-c0ab-416c-ae2f-f51d5589a697,Healthy Cereal,🥣,breakfast,1,1,1,0,2
1e84c74e-1b79-4e02-961a-8275634ad7f4,Oatmeal,🍜,breakfast,1,1,1,2,2
e141179c-827c-4e19-944e-157102304cba,Overnight Oats,🥛,breakfast,2,1,1,1,2
41c9ac17-f7f9-439f-9825-9a844e79aea6,Pancakes,🥞,breakfast,1,0,2,0,0
efc891f7-6e12-448f-85c5-46c2772c22cd,Sausage,🌭,breakfast,2,0,0,0,1
d761a5ca-de33-49d8-9be9-cceb35a544e0,Scrambled Eggs,🍳,breakfast,2,0,0,1,2
e4ef3462-d802-47fd-970f-00d504b392d6,Smoothie Bowl,🥣,breakfast,1,2,2,2,3
c448806e-9e6e-49a2-8fe8-214b0b2aafe3,Sugary Cereal,🥣,breakfast,0,0,3,0,1
9d25cae5-a7a9-4bc1-a329-7c9d30b18aa0,Toast,🍞,breakfast,1,0,0,0,1
1c4cfdd2-26d6-48da-89ed-14bb2497f83f,Waffles,🧇,breakfast,1,0,2,0,0
17c8e9b0-1133-4ee1-b313-f0b6f3ba23f3,Banana,🍌,breakfast|snack,0,1,1,1,2
0a8e8f9f-0e17-4096-b134-efad339e7fc3,Donut,🍩,breakfast|snack,1,0,3,0,0
43cc8d1d-c359-4e2e-9376-54dc3194337a,Fruit Salad,🍓,breakfast|snack,0,2,1,2,3
736a11ec-08ab-4452-921d-2f63899ad855,Granola Bar,🍫,breakfast|snack,1,1,2,0,1
1e6e4a12-f0fa-41ee-bc27-5c8cfe4e06e5,Muffin,🧁,breakfast|snack,1,0,2,0,0
2599394c-f0a8-42f3-9de0-74dfc5596dff,Pop-Tart,🍪,breakfast|snack,0,0,3,0,0
da04ef3a-7667-4ebe-bd2a-9a5939b5ef90,Yogurt,🥛,breakfast|snack,2,0,1,1,2
2655b9de-6306-4810-bf61-6ae8d6fdf16b,Yogurt Parfait,🍦,breakfast|snack,2,1,2,1,2
a5c8bc57-2e3b-4ae8-ae83-f6eb2a3bc511,Baked Potato,🥔,dinner,1,1,0,1,2
dd66bda0-89aa-462b-a46e-13b9bea50ae9,Bread Roll,🍞,dinner,1,0,0,0,0
b8fcccd6-8392-4f84-9fbe-2f9319ade751,Broccoli,🥦,dinner,1,3,0,2,3
d4c4d82f-d7db-4f4d-9d3e-b6ea80a884df,Burrito,🌯,dinner,3,1,0,1,2
a3458ebe-64dc-4ff2-a186-8a8337e9dfee,Casserole,🍲,dinner,2,1,0,1,1
aeb287a4-1f8d-4906-8e27-b85713b1a6ff,Chicken Breast,🍗,dinner,3,0,0,1,2
47be2508-b1d1-448b-9ee6-f97e6623421e,Corn on the Cob,🌽,dinner,1,2,0,1,2
cb630458-cc3d-4bfc-9d17-5ed30f56f007,Curry,🍛,dinner,2,2,0,2,2
f2447c58-8dfa-4b95-bc57-6ca8c10de354,Fried Rice,🍚,dinner,1,1,0,1,1
2b67f85f-be3b-4fb5-9060-df010fa8cf9d,Green Beans,🫘,dinner,0,2,0,2,2
f38ab681-7f3b-4a4e-b95f-d58fc89b8167,Grilled Shrimp,🦐,dinner,3,0,0,1,2
